ID,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice
0,141,31770,6,1960,1960,112,639,441,1080,1656,0,1656,1,0,7,2,2,528,210,62,215000
1,80,11622,5,1961,1961,0,468,270,882,896,0,896,1,0,5,0,1,730,140,0,105000
2,81,14267,6,1958,1958,108,923,406,1329,1329,0,1329,1,1,6,0,1,312,393,36,172000
3,93,11160,7,1968,1968,0,1065,1045,2110,2110,0,2110,2,1,8,2,2,522,0,0,244000
4,74,13830,5,1997,1998,0,791,137,928,928,701,1629,2,1,6,1,2,482,212,34,189900
5,78,9978,6,1998,1998,20,602,324,926,926,678,1604,2,1,7,1,2,470,360,36,195500
6,41,4920,8,2001,2001,0,616,722,1338,1338,0,1338,2,0,6,0,2,582,0,0,213500
7,43,5005,8,1992,1992,0,263,1017,1280,1280,0,1280,2,0,5,0,2,506,0,82,191500
8,39,5389,8,1995,1996,0,1180,415,1595,1616,0,1616,2,0,5,1,2,608,237,152,236500
9,60,7500,7,1999,1999,0,0,994,994,1028,776,1804,2,1,7,1,2,442,140,60,189000
10,75,10000,6,1993,1994,0,0,763,763,763,892,1655,2,1,7,1,2,440,157,84,175900
11,0,7980,6,1992,2007,0,935,233,1168,1187,0,1187,2,0,6,0,2,420,483,21,185000
12,63,8402,6,1998,1998,0,0,789,789,789,676,1465,2,1,7,1,2,393,0,75,180400
13,85,10176,7,1990,1990,0,637,663,1300,1341,0,1341,1,1,5,1,2,506,192,0,171500
14,0,6820,8,1985,1985,0,368,0,1488,1502,0,1502,1,1,4,0,2,528,0,54,212000
15,47,53504,8,2003,2003,603,1416,234,1650,1690,1589,3279,3,1,12,1,3,841,503,36,538000
16,152,12134,8,1988,2005,0,427,132,559,1080,672,1752,2,0,8,0,2,492,325,12,164000
17,88,11394,9,2010,2010,350,1445,411,1856,1856,0,1856,1,1,8,1,3,834,113,0,394432
18,140,19138,4,1951,1951,0,120,744,864,864,0,864,1,0,4,0,2,400,0,0,141000
19,85,13175,6,1978,1988,119,790,589,1542,2073,0,2073,2,0,7,2,2,500,349,0,210000
20,105,11751,6,1977,1977,480,705,1139,1844,1844,0,1844,2,0,7,1,2,546,0,122,190000
21,85,10625,7,1974,1974,81,885,0,1053,1173,0,1173,2,0,6,2,2,528,0,120,170000
22,0,7500,7,2000,2000,0,533,281,814,814,860,1674,2,1,7,0,2,663,0,96,216000
23,0,11241,6,1970,1970,180,578,426,1004,1004,0,1004,1,0,5,1,2,480,0,0,149000
24,0,12537,5,1971,2008,0,734,344,1078,1078,0,1078,1,1,6,1,2,500,0,0,149900
25,65,8450,5,1968,1968,0,775,281,1056,1056,0,1056,1,0,6,1,1,304,0,85,142000
26,70,8400,4,1970,1970,0,804,0,882,882,0,882,1,0,4,0,2,525,240,0,126000
27,70,10500,4,1971,1971,0,432,432,864,864,0,864,1,0,5,1,0,0,0,0,115000
28,26,5858,7,1999,1999,0,1051,354,1405,1337,0,1337,2,0,5,1,2,511,203,68,184000
29,21,1680,6,1971,1971,504,156,327,483,483,504,987,1,1,5,0,1,264,275,0,96000
30,21,1680,5,1971,1971,492,300,225,525,525,567,1092,1,1,6,0,1,320,0,0,105500
31,21,1680,6,1971,1971,381,0,525,525,525,567,1092,1,1,6,0,1,264,0,0,88000
32,53,4043,6,1977,1977,0,360,709,1069,1069,0,1069,2,0,4,1,2,440,0,55,127500
33,24,2280,6,1975,1975,0,514,341,855,855,601,1456,2,1,6,1,2,440,173,0,149900
34,24,2280,7,1975,1975,0,0,836,836,836,0,836,1,0,4,0,1,308,0,30,120000
35,24,2280,6,1978,1978,0,311,544,855,855,601,1456,2,1,7,1,2,440,26,0,146000
36,102,12858,9,2009,2010,162,0,1590,1590,1627,707,2334,2,1,10,1,3,751,144,133,376162
37,98,11478,8,2007,2008,200,1218,486,1704,1704,0,1704,2,0,7,1,3,772,0,50,306000
38,83,10159,9,2009,2010,450,1646,284,1930,1940,0,1940,2,1,8,1,3,606,168,95,395192
39,94,12883,8,2009,2010,256,0,1544,1544,1544,0,1544,2,0,7,0,3,868,0,35,290941
40,95,12182,7,2005,2005,226,1201,340,1541,1541,0,1541,2,0,7,1,2,532,0,70,220000
41,90,11520,9,2005,2005,615,110,1588,1698,1698,0,1698,2,0,7,1,3,730,192,74,275000
42,79,14122,8,2005,2006,240,28,1794,1822,1822,0,1822,2,0,8,1,3,678,0,119,259000
43,70,10171,7,2004,2004,168,2,1515,1517,1535,0,1535,2,0,7,0,2,532,0,0,214000
44,100,12919,9,2009,2010,760,2188,142,2330,2364,0,2364,2,1,11,2,3,820,0,67,611657
45,44,6371,7,2009,2010,128,733,625,1358,1358,0,1358,2,0,6,1,2,484,192,35,224000
46,110,14300,9,2003,2004,1095,1373,1473,2846,2696,0,2696,2,1,10,2,3,958,220,150,500000
47,105,13650,8,2002,2002,232,578,1093,1671,1687,563,2250,2,1,7,1,3,756,238,130,320000
48,61,7658,9,2005,2005,412,456,1296,1752,1752,0,1752,2,0,6,1,2,576,196,82,319900
49,41,7132,8,2006,2006,178,24,1346,1370,1370,0,1370,2,0,6,1,2,484,120,49,205000
50,36,2628,7,2003,2003,106,0,764,764,764,862,1626,2,1,6,0,2,474,0,27,175500
51,100,18494,6,2005,2005,0,0,1324,1324,1324,0,1324,2,0,6,0,2,430,36,23,199500
52,43,3203,7,2006,2006,14,16,1129,1145,1145,0,1145,2,0,6,0,2,437,100,116,160000
53,43,3182,8,2004,2005,16,24,1232,1256,1269,0,1269,2,0,6,1,2,430,146,20,192000
54,67,13300,7,2004,2004,0,326,58,384,744,630,1374,2,1,7,1,2,400,100,0,184500
55,0,7851,6,2002,2002,0,625,235,860,860,1100,1960,2,1,8,2,2,440,288,48,216500
56,63,8577,7,2004,2004,0,0,847,847,847,886,1733,2,1,7,1,2,433,144,48,185088
57,0,7750,7,2000,2000,0,250,134,384,774,656,1430,2,1,7,1,2,400,180,0,180000
58,0,9505,7,2001,2001,180,0,884,884,884,1151,2035,2,1,8,1,2,434,144,48,222500
59,108,14774,9,1999,1999,165,0,1393,1393,1422,1177,2599,2,1,10,1,3,779,668,30,333168
60,60,17433,8,1998,1998,114,0,1629,1629,1645,830,2475,2,1,7,1,3,962,23,172,355000
61,59,10593,7,1996,1996,338,919,801,1720,1720,0,1720,2,0,7,1,2,527,240,56,260400
62,98,12256,8,1994,1995,362,1032,431,1463,1500,1122,2622,2,1,9,2,2,712,186,32,325000
63,92,11764,8,1999,2007,348,524,628,1152,1164,1106,2270,2,1,9,1,3,671,132,57,290000
64,58,16770,7,1998,1998,30,0,1195,1195,1195,644,1839,2,1,7,0,2,486,0,81,221000
65,56,14720,8,1995,1996,579,816,1217,2033,2053,1185,3238,2,1,9,1,3,666,283,86,410000
66,73,8987,8,2005,2006,226,0,1595,1595,1595,0,1595,2,0,6,1,3,880,144,0,221500
67,92,9215,7,2009,2010,0,0,1218,1218,1218,0,1218,2,0,4,0,2,676,0,136,204500
68,72,8640,7,2009,2009,0,24,732,756,764,783,1547,2,1,7,0,2,614,169,45,215200
69,75,9000,8,2008,2008,36,1078,488,1566,1566,0,1566,2,0,7,0,2,750,144,168,262500
70,100,12552,7,2004,2005,0,222,769,991,991,956,1947,2,1,8,1,2,678,0,136,254900
71,84,10440,6,2005,2005,0,1414,54,1468,1468,0,1468,2,0,6,1,2,528,0,102,271500
72,76,10142,7,2004,2004,0,656,300,956,956,1128,2084,2,1,8,0,2,618,0,45,233000
73,70,11920,7,2004,2004,122,0,831,831,831,828,1659,2,1,8,0,2,484,144,68,181000
74,0,8880,7,1994,2002,0,695,253,948,1222,888,2110,2,1,8,2,2,463,0,130,205000
75,50,8012,6,1980,1980,0,543,261,923,923,0,923,2,0,5,1,1,264,80,0,143000
76,70,11218,6,1992,1992,0,0,1055,1055,1055,790,1845,2,1,8,1,2,462,635,104,189000
77,55,7892,6,1979,1979,0,0,918,918,918,0,918,2,0,5,1,1,264,28,0,99500
78,50,7175,6,1984,1984,0,623,0,744,752,0,752,1,0,4,0,1,264,353,0,125000
79,0,9453,7,1993,2003,0,402,594,996,1014,730,1744,2,1,7,0,2,457,370,70,194500
80,81,9672,6,1984,1985,0,338,702,1040,1097,0,1097,2,0,6,0,2,480,0,0,152000
81,70,8400,6,1980,1981,130,0,650,650,888,676,1564,2,1,7,1,2,476,0,50,171000
82,70,9800,5,1920,1950,0,0,816,816,1012,0,1012,1,0,5,0,1,429,121,0,67500
83,68,8930,6,1978,1978,0,0,0,0,1318,584,1902,2,0,8,0,2,539,0,0,112000
84,88,11782,5,1961,1995,0,899,210,1109,1155,0,1155,1,0,6,0,2,576,192,0,148000
85,65,8450,5,1965,2009,0,553,224,894,894,0,894,1,0,5,1,1,336,416,144,138500
86,0,9819,5,1967,1967,31,450,432,882,900,0,900,1,0,5,0,1,280,0,0,122000
87,75,7500,5,1963,1963,0,824,216,1040,1040,0,1040,1,1,5,0,1,308,0,0,133000
88,0,6897,5,1962,2010,0,659,381,1040,1040,0,1040,1,1,6,0,1,260,0,104,127000
89,39,15410,6,1974,2002,250,126,223,1208,1494,0,1494,2,0,7,2,2,461,296,0,169000
90,107,10186,7,1992,1992,0,674,76,750,1061,862,1923,2,1,8,1,2,564,240,39,190000
91,85,13143,8,1993,1993,504,250,0,1231,1251,1098,2349,2,1,9,1,3,762,32,130,362500
92,88,11134,8,1992,1993,180,1129,261,1390,1402,823,2225,2,1,7,1,3,713,198,30,285000
93,25,4835,7,2004,2005,0,1298,190,1488,1488,0,1488,2,0,6,1,2,506,168,50,260000
94,39,3515,7,2004,2004,0,0,840,840,840,840,1680,2,1,3,0,2,588,0,111,190000
95,30,3215,7,2004,2004,120,280,320,600,600,600,1200,2,1,4,0,2,480,0,172,155000
96,30,3182,7,2004,2005,0,0,600,600,600,600,1200,2,1,4,0,2,480,0,172,151000
97,24,2544,7,2004,2005,0,368,190,600,600,600,1200,2,1,4,0,2,480,0,172,149500
98,24,2544,6,2005,2005,216,376,224,600,600,636,1236,2,1,4,0,2,480,0,166,152000
99,0,4403,7,2009,2009,432,578,892,1470,1478,0,1478,2,1,7,1,2,484,0,144,222000
100,0,2117,6,2000,2000,216,378,378,756,769,804,1573,2,1,5,0,2,440,0,32,177500
101,0,2980,6,2000,2000,1159,466,290,756,756,756,1512,2,1,5,0,2,440,0,32,177000
102,24,2572,7,1999,1999,0,604,92,696,696,720,1416,2,1,6,0,2,484,0,44,155000
103,0,2403,7,2003,2003,0,244,286,530,530,550,1080,2,1,4,0,2,496,0,50,147110
104,57,12853,8,2010,2010,0,1032,610,1642,1418,0,1418,1,1,6,1,3,852,160,192,267916
105,68,7379,8,2000,2000,0,484,491,975,975,873,1848,2,1,7,1,2,592,280,184,254000
106,30,4420,8,1980,1980,0,728,0,728,788,0,788,1,0,3,1,2,484,133,42,155000
107,40,3880,8,1978,1978,0,1052,174,1226,1226,0,1226,1,0,4,1,2,484,223,78,206000
108,0,13517,6,1976,2005,289,533,192,725,725,754,1479,2,1,6,0,2,475,0,44,130500
109,80,8000,7,2002,2002,0,833,659,1492,1492,0,1492,2,0,6,1,2,596,277,137,230000
110,0,10456,6,1967,1967,120,506,1323,1829,1829,0,1829,2,0,8,0,2,535,0,76,218500
111,80,10791,6,1993,1993,0,1137,143,1280,1280,1215,2495,2,1,9,1,2,660,224,32,243500
112,0,10603,6,1977,2001,28,1200,410,1610,1610,0,1610,2,0,6,2,2,480,168,68,205000
113,0,18837,6,1978,1978,0,687,491,1224,1287,604,1891,3,0,7,1,2,678,0,69,212500
114,80,10421,7,1988,1988,42,394,586,980,980,734,1714,2,1,7,1,2,496,228,66,196500
115,78,9360,6,1972,2006,0,982,179,1161,1381,0,1381,1,1,5,1,2,676,0,0,197500
116,80,9600,6,1971,1971,0,329,386,715,930,715,1645,1,2,7,0,2,441,0,78,171000
117,80,9600,5,1966,1966,172,698,534,1232,1232,0,1232,1,1,6,0,2,490,0,224,142250
118,0,9790,6,1963,1963,451,569,678,1328,1328,0,1328,1,1,6,2,2,528,0,26,143000
119,77,9320,4,1959,1959,0,569,381,950,1225,0,1225,1,1,6,0,0,0,352,0,128950
120,90,9900,5,1966,1966,0,1059,150,1209,1209,0,1209,1,0,6,0,2,504,0,0,159000
121,88,9680,5,1967,1967,268,1010,500,1510,1510,0,1510,2,0,6,0,2,517,0,40,178900
122,0,10600,6,1964,1964,0,0,533,533,1131,644,1775,2,0,8,0,2,480,0,172,136300
123,0,14112,5,1964,1964,86,1014,138,1152,1152,0,1152,1,0,6,1,2,484,227,0,180500
124,80,8800,6,1963,1963,156,763,173,936,1054,0,1054,1,0,6,0,2,480,120,0,137500
125,98,13260,5,1962,2001,144,1500,228,1728,1728,0,1728,2,0,10,0,0,0,0,0,84900
126,68,9717,5,1950,1996,0,49,0,1078,1078,0,1078,1,0,5,0,1,240,366,0,142125
127,68,9724,5,1952,2002,265,670,470,1140,1929,532,2461,2,0,7,2,2,400,0,0,197600
128,120,17360,6,1949,1950,340,300,482,782,1019,537,1556,2,0,6,1,2,470,0,0,172500
129,50,7207,5,1958,2008,0,696,162,858,858,0,858,1,0,4,0,0,0,117,0,116500
130,55,5350,3,1940,1966,0,0,728,728,1306,0,1306,1,0,6,0,0,0,263,0,76500
131,80,9920,5,1954,1954,110,354,412,1056,1063,0,1063,1,0,6,0,1,280,0,0,128000
132,80,9600,6,1955,1972,164,674,350,1156,1520,0,1520,1,0,7,2,1,364,0,0,153000
133,78,7800,5,1954,1954,200,540,728,1268,1268,0,1268,1,0,7,1,1,244,0,98,132000
134,75,11380,6,1966,2008,216,944,136,1080,1128,0,1128,1,0,5,1,1,315,238,0,178000
135,80,11600,5,1960,1960,361,443,662,1105,1105,1169,2274,2,0,12,0,2,480,0,0,154300
136,0,19900,7,1970,1989,287,912,1035,1947,2207,0,2207,2,0,7,1,2,576,301,0,180000
137,137,16492,6,1966,2002,0,247,557,1517,1888,0,1888,2,1,6,1,2,578,0,0,190000
138,70,8267,5,1958,1958,0,0,1604,1604,1604,0,1604,2,0,8,0,2,576,42,0,135000
139,70,8197,7,2003,2009,506,1188,292,1480,1480,0,1480,2,0,7,0,2,620,252,73,214000
140,0,8050,5,1959,1959,150,856,125,1143,1143,0,1143,1,0,6,0,1,308,0,0,136000
141,70,10552,5,1959,1959,0,1018,380,1398,1700,0,1700,1,1,6,1,2,447,0,38,165500
142,70,8400,5,1957,1957,0,922,392,1314,1314,0,1314,1,0,5,0,1,294,250,0,145000
143,73,8760,6,1959,1959,220,0,1194,1194,1194,0,1194,1,0,6,0,1,312,0,0,148000
144,0,12160,5,1959,1959,180,1000,188,1188,1188,0,1188,1,0,6,0,2,531,0,0,142000
145,73,9300,5,1960,1960,324,697,571,1268,1264,0,1264,1,0,6,2,2,461,0,0,167500
146,87,10725,5,1959,1959,91,936,270,1206,1206,0,1206,1,0,6,0,1,312,0,21,108538
147,80,10032,6,1959,1959,432,734,510,1244,1580,0,1580,1,1,6,2,2,440,0,28,159500
148,60,8382,4,1956,1956,0,0,832,832,832,505,1337,1,0,5,0,1,263,0,0,108000
149,60,10950,5,1952,1952,0,339,525,864,1064,0,1064,1,0,4,0,1,318,0,0,135000
150,119,10895,5,1955,1955,0,648,324,972,972,0,972,1,0,5,0,1,305,0,0,122500
151,70,13587,5,1958,1958,0,532,456,988,988,0,988,1,0,5,0,1,264,0,0,119000
152,68,7922,5,1953,2007,0,731,326,1057,1057,0,1057,1,0,5,0,1,246,0,52,109000
153,65,7898,4,1920,1994,0,0,576,576,985,0,985,1,0,4,0,2,676,0,0,105000
154,60,7200,5,1955,2007,0,0,0,0,827,0,827,1,0,5,1,1,392,0,0,107500
155,85,10200,5,1954,2003,104,320,404,1086,1086,0,1086,1,0,6,0,2,490,0,0,144900
